file_name,case_id,primary_variation_score,n_primary_features_used,sensitivity_variation_score,n_sensitivity_features_used,primary_variation_score_case,primary_variation_stratum,sensitivity_variation_score_case,sensitivity_variation_stratum
case101_day20.nii.gz,case101,1.0351214083561908,30,1.106163073684206,35,0.8307224587717004,medium,0.9045207055088562,medium
case101_day22.nii.gz,case101,0.8436693383449796,30,0.8125414434938613,35,0.8307224587717004,medium,0.9045207055088562,medium
case101_day26.nii.gz,case101,0.8177755791984211,30,0.8312039590005708,35,0.8307224587717004,medium,0.9045207055088562,medium
case101_day32.nii.gz,case101,0.8124377613629121,30,0.9778374520171417,35,0.8307224587717004,medium,0.9045207055088562,medium
case102_day0.nii.gz,case102,1.2148355424373405,30,1.1328315091035996,35,1.2148355424373405,high,1.1328315091035996,high
case107_day0.nii.gz,case107,0.7557051912557181,30,0.7330666832749371,35,0.7557051912557181,medium,0.7330666832749371,medium
case107_day19.nii.gz,case107,0.9659186748299848,30,1.0615484434983575,35,0.7557051912557181,medium,0.7330666832749371,medium
case107_day21.nii.gz,case107,0.6800722235504881,30,0.6201646547632772,35,0.7557051912557181,medium,0.7330666832749371,medium
case108_day0.nii.gz,case108,1.1016782624956483,30,1.0245813263930414,35,0.8883109595707522,medium,0.8783707747329192,medium
case108_day10.nii.gz,case108,0.8883109595707522,30,0.8530863326932978,35,0.8883109595707522,medium,0.8783707747329192,medium
case108_day13.nii.gz,case108,0.8486996744007661,30,0.8783707747329192,35,0.8883109595707522,medium,0.8783707747329192,medium
case11_day0.nii.gz,case11,1.001944923010484,30,0.9437513754613068,35,0.9439602256711415,high,0.9437513754613068,high
case11_day12.nii.gz,case11,0.9439602256711415,30,0.8575306048158952,35,0.9439602256711415,high,0.9437513754613068,high
case11_day13.nii.gz,case11,0.900127651456947,30,0.9651835350047993,35,0.9439602256711415,high,0.9437513754613068,high
case110_day12.nii.gz,case110,0.7785037823654404,30,0.7267051218326969,35,1.7125693228261243,high,1.573396003512438,high
case110_day16.nii.gz,case110,2.6466348632868084,30,2.420086885192179,35,1.7125693228261243,high,1.573396003512438,high
case111_day0.nii.gz,case111,0.5834083715768622,30,0.643043765823681,35,0.581724216054385,low,0.581644014879929,low
case111_day19.nii.gz,case111,0.5800400605319077,30,0.5202442639361771,35,0.581724216054385,low,0.581644014879929,low
case113_day0.nii.gz,case113,0.6297252982509648,30,0.6808771199515374,35,0.7881020376194889,medium,0.8002655443814918,medium
case113_day12.nii.gz,case113,1.8472182692664305,30,1.7360200420947298,35,0.7881020376194889,medium,0.8002655443814918,medium
case113_day16.nii.gz,case113,0.8465260060629756,30,0.8976204062756109,35,0.7881020376194889,medium,0.8002655443814918,medium
case113_day19.nii.gz,case113,0.7573043793711877,30,0.7135901720536999,35,0.7881020376194889,medium,0.8002655443814918,medium
case113_day22.nii.gz,case113,0.7881020376194889,30,0.8002655443814918,35,0.7881020376194889,medium,0.8002655443814918,medium
case114_day0.nii.gz,case114,0.468307166445275,30,0.495200277836239,35,0.6072002475475397,low,0.6268737600642962,low
case114_day15.nii.gz,case114,1.0068825222305156,30,1.5922645480971138,35,0.6072002475475397,low,0.6268737600642962,low
case114_day17.nii.gz,case114,0.6072002475475397,30,0.6268737600642962,35,0.6072002475475397,low,0.6268737600642962,low
case115_day0.nii.gz,case115,0.6948065050359753,30,0.6654224299897781,35,0.6948065050359753,medium,0.6654224299897781,low
case116_day0.nii.gz,case116,0.7850920336794945,30,0.8072501209665159,35,0.7850920336794945,medium,0.8072501209665159,medium
case117_day0.nii.gz,case117,0.5889944793453429,30,0.636032248648703,35,0.7475912591191954,medium,0.7543150240641223,medium
case117_day13.nii.gz,case117,0.7475912591191954,30,0.7091626584348486,35,0.7475912591191954,medium,0.7543150240641223,medium
case117_day15.nii.gz,case117,0.7651082507663253,30,0.7543150240641223,35,0.7475912591191954,medium,0.7543150240641223,medium
case117_day16.nii.gz,case117,0.7252303028246508,30,0.8754957233718484,35,0.7475912591191954,medium,0.7543150240641223,medium
case117_day17.nii.gz,case117,0.8487066038274211,30,0.8245856622443264,35,0.7475912591191954,medium,0.7543150240641223,medium
case118_day0.nii.gz,case118,0.6819582139079619,30,0.7568495360811678,35,0.6819582139079619,low,0.7568495360811678,medium
case118_day14.nii.gz,case118,0.6157569036116567,30,0.7392430240110541,35,0.6819582139079619,low,0.7568495360811678,medium
case118_day16.nii.gz,case118,0.7236467491135913,30,0.8132766962776159,35,0.6819582139079619,low,0.7568495360811678,medium
case119_day0.nii.gz,case119,0.9206939542688215,30,1.019091928599617,35,0.9206939542688215,high,1.019091928599617,high
case119_day19.nii.gz,case119,0.910096930917408,30,1.0942149714992264,35,0.9206939542688215,high,1.019091928599617,high
case119_day20.nii.gz,case119,0.9646766813238032,30,1.0015032062194207,35,0.9206939542688215,high,1.019091928599617,high
case119_day21.nii.gz,case119,0.9333790660012665,30,0.9359725476565217,35,0.9206939542688215,high,1.019091928599617,high
case119_day25.nii.gz,case119,0.8937979527857115,30,1.0677872240316766,35,0.9206939542688215,high,1.019091928599617,high
case121_day0.nii.gz,case121,0.5554792282753785,30,0.582100533627014,35,0.6882684200554555,low,0.68000258570466,low
case121_day14.nii.gz,case121,0.6882684200554555,30,0.68000258570466,35,0.6882684200554555,low,0.68000258570466,low
case121_day16.nii.gz,case121,0.7716763599309853,30,0.758585731528817,35,0.6882684200554555,low,0.68000258570466,low
case122_day0.nii.gz,case122,1.350762049947385,30,1.3446604806818667,35,1.1960443382980652,high,1.1056875393357888,high
case122_day18.nii.gz,case122,1.19476023204063,30,1.079423245625455,35,1.1960443382980652,high,1.1056875393357888,high
case122_day24.nii.gz,case122,1.1568068704775216,30,1.075913510846047,35,1.1960443382980652,high,1.1056875393357888,high
case122_day25.nii.gz,case122,1.1960443382980652,30,1.1056875393357888,35,1.1960443382980652,high,1.1056875393357888,high
case122_day27.nii.gz,case122,1.240394629829623,30,1.1616447577825542,35,1.1960443382980652,high,1.1056875393357888,high
case123_day0.nii.gz,case123,0.8639606544399426,30,0.8665687197860218,35,0.7767804799546185,medium,0.7583722561749244,medium
case123_day20.nii.gz,case123,0.6983380016718119,30,0.6955945021776582,35,0.7767804799546185,medium,0.7583722561749244,medium
case123_day22.nii.gz,case123,0.7767804799546185,30,0.7583722561749244,35,0.7767804799546185,medium,0.7583722561749244,medium
case124_day0.nii.gz,case124,0.8429191235356905,30,0.7866321421152435,35,0.7217468414309234,medium,0.7015681097866636,low
case124_day19.nii.gz,case124,0.7217468414309234,30,0.7015681097866636,35,0.7217468414309234,medium,0.7015681097866636,low
case124_day20.nii.gz,case124,0.6996730666272591,30,0.6777394630584412,35,0.7217468414309234,medium,0.7015681097866636,low
case125_day0.nii.gz,case125,0.5874222483690498,30,0.5797689243155233,35,0.5874222483690498,low,0.5797689243155233,low
case125_day15.nii.gz,case125,0.5017363767514271,30,0.4775671624419309,35,0.5874222483690498,low,0.5797689243155233,low
case125_day16.nii.gz,case125,0.6447264626189834,30,0.6188118127846327,35,0.5874222483690498,low,0.5797689243155233,low
case129_day0.nii.gz,case129,0.5871935562546877,30,0.5695554521147735,35,0.5938945863216509,low,0.6185532049725571,low
case129_day20.nii.gz,case129,0.5538851763191607,30,0.5556161850235563,35,0.5938945863216509,low,0.6185532049725571,low
case129_day22.nii.gz,case129,0.7715441370589546,30,0.7718673708704014,35,0.5938945863216509,low,0.6185532049725571,low
case129_day24.nii.gz,case129,0.7884305151931591,30,0.785424808216525,35,0.5938945863216509,low,0.6185532049725571,low
case129_day27.nii.gz,case129,0.5938945863216509,30,0.6185532049725571,35,0.5938945863216509,low,0.6185532049725571,low
case130_day0.nii.gz,case130,0.6764146318245563,30,0.6940924840024193,35,0.6645701744653872,low,0.6652317648861231,low
case130_day20.nii.gz,case130,0.6645701744653872,30,0.6652317648861231,35,0.6645701744653872,low,0.6652317648861231,low
case130_day22.nii.gz,case130,0.6079551700914381,30,0.6237132496851058,35,0.6645701744653872,low,0.6652317648861231,low
case131_day0.nii.gz,case131,1.0247468622090328,30,0.9770411095229701,35,1.0247468622090328,high,0.9770411095229701,high
case131_day15.nii.gz,case131,1.4802324907309397,30,1.3543723348822891,35,1.0247468622090328,high,0.9770411095229701,high
case131_day19.nii.gz,case131,0.9200185598369777,30,0.8618388569483799,35,1.0247468622090328,high,0.9770411095229701,high
case131_day21.nii.gz,case131,1.1552143156093668,30,1.028855792641221,35,1.0247468622090328,high,0.9770411095229701,high
case131_day23.nii.gz,case131,0.9542493474221049,30,0.9365420530534276,35,1.0247468622090328,high,0.9770411095229701,high
case133_day0.nii.gz,case133,1.0913191258173778,30,1.0453384718091712,35,1.085730952294912,high,1.0097251832776981,high
case133_day23.nii.gz,case133,1.085730952294912,30,1.0097251832776981,35,1.085730952294912,high,1.0097251832776981,high
case133_day25.nii.gz,case133,1.0610274510550672,30,0.985043451385364,35,1.085730952294912,high,1.0097251832776981,high
case134_day0.nii.gz,case134,0.9704065100410042,30,1.6001200146847459,35,0.9704065100410042,high,1.1251063323388364,high
case134_day21.nii.gz,case134,0.9471974771732764,30,0.9021285729955218,35,0.9704065100410042,high,1.1251063323388364,high
case134_day22.nii.gz,case134,1.1680338580958818,30,1.1251063323388364,35,0.9704065100410042,high,1.1251063323388364,high
case135_day0.nii.gz,case135,0.6411228089742795,30,0.6048247540272234,35,0.6585022344158513,low,0.6248096805800886,low
case135_day17.nii.gz,case135,0.6758816598574232,30,0.6447946071329538,35,0.6585022344158513,low,0.6248096805800886,low
case136_day0.nii.gz,case136,0.898514838775007,30,0.9118665518204323,35,1.1118986227296237,high,1.0421545307455016,high
case136_day25.nii.gz,case136,1.1118986227296237,30,1.0712844661435657,35,1.1118986227296237,high,1.0421545307455016,high
case136_day27.nii.gz,case136,1.1468663880581618,30,1.0421545307455016,35,1.1118986227296237,high,1.0421545307455016,high
case138_day0.nii.gz,case138,0.7722661426856257,30,0.7383710800767908,35,0.6749206531255777,low,0.7383710800767908,medium
case138_day11.nii.gz,case138,0.6749206531255777,30,0.8091692218192671,35,0.6749206531255777,low,0.7383710800767908,medium
case138_day12.nii.gz,case138,0.6316544381402667,30,0.7104511619272567,35,0.6749206531255777,low,0.7383710800767908,medium
case139_day0.nii.gz,case139,1.3208718048712222,30,1.2139699876394883,35,1.193704600796346,high,1.1278003868034214,high
case139_day14.nii.gz,case139,1.4866798130999992,30,1.339953420285448,35,1.193704600796346,high,1.1278003868034214,high
case139_day16.nii.gz,case139,1.0164136798326635,30,0.9751063916739819,35,1.193704600796346,high,1.1278003868034214,high
case139_day18.nii.gz,case139,1.06653739672147,30,1.0416307859673544,35,1.193704600796346,high,1.1278003868034214,high
case140_day0.nii.gz,case140,0.5473020134116702,30,0.5715391202184963,35,0.6454051504280647,low,0.6543655678949889,low
case140_day10.nii.gz,case140,0.7435082874444592,30,0.7371920155714814,35,0.6454051504280647,low,0.6543655678949889,low
case141_day0.nii.gz,case141,0.7897271417343393,30,0.8903667933056001,35,0.7214315311873798,medium,0.7410060006884863,medium
case141_day13.nii.gz,case141,0.6689738573361932,30,0.6035296489198929,35,0.7214315311873798,medium,0.7410060006884863,medium
case141_day27.nii.gz,case141,0.7214315311873798,30,0.7410060006884863,35,0.7214315311873798,medium,0.7410060006884863,medium
case142_day0.nii.gz,case142,0.8294418943889643,30,0.7384427967281973,35,0.8294418943889643,medium,0.7776607570691639,medium
case142_day14.nii.gz,case142,0.8742756510329305,30,0.7928508893086673,35,0.8294418943889643,medium,0.7776607570691639,medium
case142_day16.nii.gz,case142,0.8268807714787846,30,0.7776607570691639,35,0.8294418943889643,medium,0.7776607570691639,medium
case143_day0.nii.gz,case143,0.9905098433954385,30,1.0366320031905352,35,0.9827095193095011,high,0.9357207259258752,medium
case143_day18.nii.gz,case143,0.7639328250855969,30,0.9186275392413438,35,0.9827095193095011,high,0.9357207259258752,medium
case143_day23.nii.gz,case143,0.9827095193095011,30,0.9357207259258752,35,0.9827095193095011,high,0.9357207259258752,medium
case144_day0.nii.gz,case144,0.5847562220613529,30,0.6284588323702632,35,0.5094069044181454,low,0.5364278002930398,low
case144_day14.nii.gz,case144,0.47387882163037676,30,0.47387882163037676,30,0.5094069044181454,low,0.5364278002930398,low
case144_day15.nii.gz,case144,0.5094069044181454,30,0.5364278002930398,35,0.5094069044181454,low,0.5364278002930398,low
case145_day0.nii.gz,case145,1.2740967757251629,30,1.1184520642551874,35,1.3091409117099864,high,1.1456733016927283,high
case145_day19.nii.gz,case145,1.5370108034012664,30,1.431602447676471,35,1.3091409117099864,high,1.1456733016927283,high
case145_day20.nii.gz,case145,1.3091409117099864,30,1.1456733016927283,35,1.3091409117099864,high,1.1456733016927283,high
case146_day0.nii.gz,case146,0.48863513945187254,30,0.5454953713113623,35,0.5592399850630703,low,0.6156913364703545,low
case146_day24.nii.gz,case146,0.5592399850630703,30,0.6156913364703545,35,0.5592399850630703,low,0.6156913364703545,low
case146_day25.nii.gz,case146,0.8205357629646763,30,0.7621932890596649,35,0.5592399850630703,low,0.6156913364703545,low
case147_day0.nii.gz,case147,0.908437599016884,30,0.9282166418494355,35,0.8458126929793691,medium,0.7781393457340605,medium
case147_day14.nii.gz,case147,0.8552358802221786,30,0.8113065388017177,35,0.8458126929793691,medium,0.7781393457340605,medium
case147_day18.nii.gz,case147,0.7381386698634012,30,0.7781393457340605,35,0.8458126929793691,medium,0.7781393457340605,medium
case147_day19.nii.gz,case147,0.8458126929793691,30,0.7751119149982967,35,0.8458126929793691,medium,0.7781393457340605,medium
case147_day20.nii.gz,case147,0.7309479237030065,30,0.7778990032335797,35,0.8458126929793691,medium,0.7781393457340605,medium
case148_day0.nii.gz,case148,1.2267412619679525,30,1.127659994459026,35,1.1996846037916489,high,1.0826194756325473,high
case148_day20.nii.gz,case148,1.1726279456153452,30,1.0375789568060687,35,1.1996846037916489,high,1.0826194756325473,high
case149_day0.nii.gz,case149,0.5030719261518447,30,0.5679545435526056,35,0.5030719261518447,low,0.5679545435526056,low
case149_day12.nii.gz,case149,0.5063157532052133,30,0.4861720033309911,35,0.5030719261518447,low,0.5679545435526056,low
case149_day15.nii.gz,case149,0.45092363655264084,30,0.575137909944529,35,0.5030719261518447,low,0.5679545435526056,low
case15_day0.nii.gz,case15,1.5518738749728138,30,1.5207111642583866,35,1.3770245233801035,high,1.3613454883007658,high
case15_day20.nii.gz,case15,1.2021751717873932,30,1.201979812343145,35,1.3770245233801035,high,1.3613454883007658,high
case154_day0.nii.gz,case154,0.6877949493861866,30,0.7327063998804273,35,0.6890573395022201,low,0.7327063998804273,medium
case154_day13.nii.gz,case154,0.6890573395022201,30,0.7657978081294641,35,0.6890573395022201,low,0.7327063998804273,medium
case154_day14.nii.gz,case154,0.6839198435919173,30,0.7264325346957408,35,0.6890573395022201,low,0.7327063998804273,medium
case154_day16.nii.gz,case154,0.7446974510370884,30,0.8508831800661659,35,0.6890573395022201,low,0.7327063998804273,medium
case154_day17.nii.gz,case154,0.6999261339647902,30,0.6783440871330453,35,0.6890573395022201,low,0.7327063998804273,medium
case156_day0.nii.gz,case156,0.3308483255290636,30,0.37695975340401244,35,0.5713874495500646,low,0.5465893934194371,low
case156_day10.nii.gz,case156,0.749005438595257,30,0.6840347296802884,35,0.5713874495500646,low,0.5465893934194371,low
case156_day11.nii.gz,case156,0.5713874495500646,30,0.5465893934194371,35,0.5713874495500646,low,0.5465893934194371,low
case16_day0.nii.gz,case16,1.5621968636144066,30,1.4339293879082706,35,1.5621968636144066,high,1.4339293879082706,high
case18_day0.nii.gz,case18,0.8128457533800443,30,0.7841555312351433,35,0.8818728516585624,medium,0.8500287028523068,medium
case18_day17.nii.gz,case18,0.8078106868113017,30,0.8500287028523068,35,0.8818728516585624,medium,0.8500287028523068,medium
case18_day19.nii.gz,case18,0.9487849910768795,30,0.8649649043992703,35,0.8818728516585624,medium,0.8500287028523068,medium
case18_day21.nii.gz,case18,0.8818728516585624,30,0.7975496648237905,35,0.8818728516585624,medium,0.8500287028523068,medium
